File,Class,Class_Name,Vibration_Samples,Acoustic_Samples,Expected_Samples,Vibration_Mean,Vibration_SD,Vibration_RMS,Vibration_Min,Vibration_Max,Vibration_Peak,Acoustic_Mean,Acoustic_SD,Acoustic_RMS,Acoustic_Min,Acoustic_Max,Acoustic_Peak
H_10_0.csv,H,Healthy,420000,420000,420000,1.5844744896690475,2.98314565346578,3.3778241827739293,-17.07661,20.861129,20.861129,0.0011870843880952382,0.006075406117420018,0.006190286015505223,-0.022617,0.020452,0.022617
H_9_0.csv,H,Healthy,420000,420000,420000,1.3522567890761905,8.494332520259155,8.60128546171134,-41.831216,44.552083,44.552083,0.00017876485476190471,0.00810328856826592,0.008105250529917687,-0.028535,0.033931,0.033931
H_8_0.csv,H,Healthy,420000,420000,420000,1.8193000179880954,3.461908675380127,3.910835677557646,-28.164612,28.048996,28.164612,0.00013340344523809537,0.007035655399383187,0.007036911646444361,-0.030179,0.024068,0.030179
H_7_0.csv,H,Healthy,420000,420000,420000,1.4744376937809522,2.818432601108698,3.180803346104691,-11.564841,16.090707,16.090707,-0.018322909197619048,0.021681006818311907,0.02838650980509903,-0.087057,0.086535,0.087057
H_6_0.csv,H,Healthy,420000,420000,420000,1.7278637566809523,8.05480439162419,8.23803571691031,-42.508099,55.382237,55.382237,-0.002935596497619048,0.023235059277105088,0.02341974425580837,-0.081139,0.123357,0.123357
H_5_0.csv,H,Healthy,420000,420000,420000,1.0943646329666668,7.014607599604923,7.099453258683285,-29.615077,33.593001,33.593001,-0.0035120502904761905,0.020971414803834236,0.0212634354932096,-0.073906,0.089494,0.089494
H_4_0.csv,H,Healthy,420000,420000,420000,0.6911606329642858,3.3961194122176384,3.465732624075933,-16.625354,20.023082,20.023082,0.005604945526190476,0.020903403143078314,0.02164177989332412,-0.071276,0.118426,0.118426
H_3_0.csv,H,Healthy,420000,420000,420000,2.256002934540476,2.7653694657362586,3.568865269928252,-11.145818,15.929544,15.929544,0.016093082166666665,0.02292500170305636,0.028009672354119372,-0.059769,0.133549,0.133549
H_2_0.csv,H,Healthy,420000,420000,420000,164.41620955419046,17.092273200534343,165.302253680172,114.722495,218.995233,218.995233,1.7071838095761904,0.1815669266448312,1.7168118796299556,1.405242,2.04372,2.04372
H_1_0.csv,H,Healthy,420000,420000,420000,0.9043595245,3.180170515541992,3.306255673379097,-29.550612,28.113461,29.550612,-0.004771448883333333,0.03318389866280099,0.03352514329683444,-0.119934,0.152618,0.152618
H_20_0.csv,H,Healthy,420000,420000,420000,3.5909284736285714,1.8667280193675588,4.047151159045915,-9.824283,16.090707,16.090707,-0.001245337980952381,0.030845043086051925,0.030870135801278648,-0.119605,0.139139,0.139139
H_18_0.csv,H,Healthy,420000,420000,420000,106.03530453350714,13.869204352087236,106.93848782775015,71.369611,137.349817,137.349817,-0.0038549693204761905,0.019695950114223294,0.020069636661381157,-0.07292,0.080946,0.080946
H_17_0.csv,H,Healthy,420000,420000,420000,112.67575259286905,13.460794047613529,113.47694817604963,79.105438,141.153271,141.153271,0.012809051114285713,0.02172372632984717,0.025218861046501513,-0.052207,0.112508,0.112508
H_16_0.csv,H,Healthy,420000,420000,420000,48.28999507300715,25.57291890470939,54.643355024893125,-37.802146,117.011013,117.011013,0.014010996417619048,0.0208343475048926,0.025107310152006977,-0.049248,0.133549,0.133549
H_15_0.csv,H,Healthy,420000,420000,420000,1.0260816715357144,2.6974125407919574,2.8859765570759204,-11.210283,12.802984,12.802984,-0.00564352019047619,0.022123017282852958,0.022831470573163138,-0.086399,0.101987,0.101987
H_14_0.csv,H,Healthy,420000,420000,420000,1.0744510966285714,2.6306517009061934,2.841611699996091,-10.952423,12.641821,12.641821,-0.00737047499047619,0.024302916772729888,0.02539594965700961,-0.09955,0.11744,0.11744
H_13_0.csv,H,Healthy,420000,420000,420000,1.3971559949476189,32.462508895619685,32.49252251811639,-194.387783,215.288469,215.288469,-0.004675372742857143,0.02741457845185764,0.027810365559468156,-0.110728,0.159522,0.159522
H_12_0.csv,H,Healthy,420000,420000,420000,1.693148345952381,7.9921883922845,8.169557793152316,-46.279308,51.514324,51.514324,-0.001342420761904762,0.02243915605480441,0.02247924863305923,-0.088043,0.149988,0.149988
H_11_0.csv,H,Healthy,420000,420000,420000,3.210556026116667,7.412083341297383,8.07753171755322,-35.771495,48.35553,48.35553,-0.00724947506904762,0.018996347270834952,0.020332615159333177,-0.081468,0.095412,0.095412
H_19_0.csv,H,Healthy,420000,420000,420000,90.7310989102619,18.724990687320798,92.64316893803824,47.678645,126.003922,126.003922,0.4152985840833333,0.05474545522463978,0.4188913602278111,0.282812,0.582981,0.582981
I_4_1.csv,I,Inner Race Fault,420000,420000,420000,46.58412705160239,36.351323921359864,59.08888641496251,-340.755639,448.106392,448.106392,0.000242473457142857,0.04241645935442902,0.04241710190287083,-0.260977,0.282154,0.282154
I_5_1.csv,I,Inner Race Fault,420000,420000,420000,55.5985387759738,35.0289551012136,65.71318199578977,-364.414314,417.323894,417.323894,-0.003769455204761905,0.038555472466621464,0.038739252836382465,-0.262621,0.310758,0.310758
I_4_2.csv,I,Inner Race Fault,420000,420000,420000,52.27893857541429,30.22033927081453,60.385049058233776,-331.730533,382.061061,382.061061,-0.0025535229880952384,0.03674847097293343,0.03683703819719815,-0.322786,0.345279,0.345279
I_3_2.csv,I,Inner Race Fault,420000,420000,420000,46.67356213915953,21.917931998387722,51.563708187489254,-80.478039,229.599804,229.599804,-0.0009469768142857143,0.03307233613044455,0.0330858516283803,-0.189305,0.209167,0.209167
I_5_2.csv,I,Inner Race Fault,420000,420000,420000,52.56875451291666,60.58875158509002,80.21509851150486,-473.77935,824.591592,824.591592,-0.003298739488095238,0.059867647622387735,0.059958388740804176,-0.491775,0.52446,0.52446
I_2_2.csv,I,Inner Race Fault,420000,420000,420000,48.50429658239762,21.01111742214935,52.85955723583485,-61.944327,210.227931,210.227931,-0.002480244514285714,0.03850269567143929,0.03858245271049034,-0.293526,0.261113,0.293526
I_2_1.csv,I,Inner Race Fault,420000,420000,420000,53.11535963689048,48.128154164859794,71.67674056224206,-645.321369,667.839964,667.839964,-0.004474577488095238,0.058920376401498165,0.05908996812701203,-0.658463,0.67175,0.67175
I_1_2.csv,I,Inner Race Fault,420000,420000,420000,49.6886384206381,19.000205155812598,53.197440958353525,-178.013665,307.248574,307.248574,-0.05235492991190476,0.027107325828859805,0.05895628931786399,-0.163332,0.116124,0.163332
I_1_1.csv,I,Inner Race Fault,420000,420000,420000,49.12675713195,32.39687019077015,58.84720015016434,-161.639546,283.46076,283.46076,-0.00285498275952381,0.051175262925490336,0.051254777597372445,-0.296813,0.373224,0.373224
I_3_1.csv,I,Inner Race Fault,420000,420000,420000,48.82792356416904,20.650784861055843,53.01528100083128,-58.721072,175.867865,175.867865,-0.00038956142619047616,0.03195652889095621,0.031958865208072174,-0.167277,0.187139,0.187139
O_9_2.csv,O,Outer Race Fault,420000,420000,420000,0.9650169398333334,14.428391771652302,14.460610331081462,-196.063874,239.720886,239.720886,-0.0018578885476190476,0.00982151947070499,0.009995687314877351,-0.052536,0.069768,0.069768
O_9_1.csv,O,Outer Race Fault,420000,420000,420000,0.9447217943500001,14.517546090889443,14.548235011929533,-174.854878,238.077016,238.077016,-0.0020823016714285715,0.009715744581178826,0.009936369974285904,-0.052536,0.062535,0.062535
O_8_2.csv,O,Outer Race Fault,420000,420000,420000,1.268615034661905,7.976304149541912,8.076550037768575,-133.017066,155.819136,155.819136,-0.001734622230952381,0.00742263185550893,0.007622614168830452,-0.053193,0.051685,0.053193
O_8_1.csv,O,Outer Race Fault,420000,420000,420000,1.347908191792857,7.574815809568293,7.693799739302828,-72.548834,70.596028,72.548834,0.001606222011904762,0.006938260853329918,0.007121748254649777,-0.033796,0.030315,0.033796
O_7_2.csv,O,Outer Race Fault,420000,420000,420000,1.042555855395238,22.05174218954431,22.07634703699437,-429.395114,493.329343,493.329343,-0.00404030885,0.013510491701851207,0.01410166823556272,-0.144921,0.132563,0.144921
